timestamp, angle
12.558395878, -0.5262167694762904
12.591826457, -0.5235987755982988
12.622089846, -0.5209807817203074
12.633820998, -0.5183627878423159
12.641696911, -0.5157447939643244
12.648573901, -0.5131268000863328
12.655042555, -0.5105088062083414
12.659818794, -0.5078908123303498
12.664042851, -0.5052728184523584
12.668458789, -0.5026548245743669
12.672631052, -0.5000368306963754
12.676667819, -0.4974188368183839
12.680490077, -0.4948008429403924
12.68422556, -0.49218284906240095
12.687747423, -0.4895648551844094
12.691226323, -0.48694686130641796
12.694260853, -0.48432886742842646
12.697101908, -0.4817108735504349
12.700035478, -0.47909287967244346
12.702884867, -0.47647488579445196
12.70528905, -0.4738568919164605
12.707883689, -0.47123889803846897
12.710579158, -0.46862090416047747
12.7131995, -0.466002910282486
12.715477429, -0.4633849164044945
12.717900223, -0.460766922526503
12.720765722, -0.45814892864851153
12.723310992, -0.45553093477052
12.725706417, -0.4529129408925285
12.728179635, -0.45029494701453704
12.730634465, -0.4476769531365455
12.733347359, -0.445058959258554
12.735560235, -0.44244096538056255
12.737696503, -0.4398229715025711
12.740171721, -0.43720497762457955
12.742219178, -0.43458698374658805
12.744263042, -0.4319689898685966
12.746063324, -0.42935099599060506
12.748114928, -0.42673300211261356
12.750130442, -0.4241150082346221
12.751955926, -0.42149701435663056
12.753789947, -0.41887902047863906
12.755685298, -0.4162610266006476
12.757557521, -0.41364303272265607
12.759305434, -0.41102503884466457
12.761020404, -0.4084070449666731
12.762991753, -0.40578905108868163
12.764909011, -0.4031710572106901
12.766731255, -0.40055306333269863
12.768557516, -0.39793506945470714
12.770497163, -0.3953170755767156
12.77241281, -0.39269908169872414
12.774174722, -0.39008108782073264
12.776002077, -0.38746309394274114
12.777903336, -0.38484510006474965
12.779783706, -0.3822271061867582
12.78156984, -0.37960911230876665
12.783265996, -0.37699111843077515
12.785015761, -0.3743731245527837
12.78690415, -0.37175513067479216
12.788467033, -0.36913713679680066
12.789955234, -0.3665191429188092
12.791624132, -0.3639011490408177
12.793255697, -0.3612831551628262
12.794849616, -0.3586651612848347
12.79632067, -0.3560471674068432
12.79789046, -0.3534291735288517
12.799548043, -0.3508111796508602
12.801024337, -0.34819318577286873
12.802370655, -0.34557519189487723
12.803857578, -0.34295719801688573
12.805418758, -0.3403392041388943
12.806808703, -0.33772121026090274
12.808237722, -0.3351032163829113
12.809817752, -0.3324852225049198
12.811419227, -0.32986722862692824
12.812904631, -0.3272492347489368
12.814362426, -0.3246312408709453
12.815913384, -0.32201324699295375
12.817511229, -0.3193952531149623
12.819000022, -0.3167772592369708
12.820494797, -0.3141592653589793
12.822003423, -0.3115412714809878
12.82347931, -0.3089232776029963
12.82503686, -0.3063052837250048
12.826500432, -0.3036872898470133
12.828061408, -0.3010692959690219
12.829564571, -0.2984513020910303
12.83089389, -0.2958333082130388
12.832284576, -0.2932153143350474
12.833795406, -0.2905973204570559
12.835200128, -0.28797932657906433
12.83664709, -0.2853613327010729
12.837969612, -0.2827433388230814
12.839328707, -0.2801253449450899
12.840742171, -0.2775073510670984
12.842066045, -0.2748893571891069
12.84334842, -0.2722713633111154
12.844658832, -0.2696533694331239
12.845993261, -0.26703537555513246
12.847294155, -0.2644173816771409
12.848632936, -0.2617993877991494
12.849939514, -0.25918139392115797
12.851331256, -0.2565634000431664
12.852591095, -0.2539454061651749
12.853833343, -0.25132741228718347
12.855149532, -0.24870941840919195
12.8565277, -0.24609142453120048
12.857815687, -0.24347343065320898
12.859095155, -0.24085543677521745
12.860413493, -0.23823744289722598
12.861758088, -0.23561944901923448
12.863037927, -0.233001455141243
12.864348487, -0.2303834612632515
12.86572871, -0.22776546738526
12.86718819, -0.22514747350726852
12.868472381, -0.222529479629277
12.869753238, -0.21991148575128555
12.871076686, -0.21729349187329403
12.872378172, -0.21467549799530253
12.873702417, -0.21205750411731106
12.875012291, -0.20943951023931953
12.876254094, -0.20682151636132803
12.877554284, -0.20420352248333656
12.87881255, -0.20158552860534504
12.880045076, -0.19896753472735357
12.88131897, -0.19634954084936207
12.882602086, -0.19373154697137057
12.883965644, -0.1911135530933791
12.885225336, -0.18849555921538758
12.886438066, -0.18587756533739608
12.887655648, -0.1832595714594046
12.888849842, -0.1806415775814131
12.890032925, -0.1780235837034216
12.891206305, -0.1754055898254301
12.892436664, -0.17278759594743862
12.893596878, -0.17016960206944715
12.894795239, -0.16755160819145565
12.896055671, -0.16493361431346412
12.897311158, -0.16231562043547265
12.898513519, -0.15969762655748115
12.89977471, -0.15707963267948966
12.900937128, -0.15446163880149816
12.902166172, -0.15184364492350666
12.903371254, -0.14922565104551516
12.904520783, -0.1466076571675237
12.905774549, -0.14398966328953217
12.907029741, -0.1413716694115407
12.908201991, -0.1387536755335492
12.909465386, -0.1361356816555577
12.910698227, -0.13351768777756623
12.91196077, -0.1308996938995747
12.913167945, -0.1282817000215832
12.914375509, -0.12566370614359174
12.915559999, -0.12304571226560024
12.916813339, -0.12042771838760873
12.917980738, -0.11780972450961724
12.919138915, -0.11519173063162574
12.92026937, -0.11257373675363426
12.921434251, -0.10995574287564278
12.922638907, -0.10733774899765126
12.923871377, -0.10471975511965977
12.925041202, -0.10210176124166828
12.926328652, -0.09948376736367678
12.927493643, -0.09686577348568529
12.928659838, -0.09424777960769379
12.929859069, -0.0916297857297023
12.931046782, -0.0890117918517108
12.93215059, -0.08639379797371931
12.933300304, -0.08377580409572782
12.934514183, -0.08115781021773633
12.935710191, -0.07853981633974483
12.936908867, -0.07592182246175333
12.9380481, -0.07330382858376185
