time, angle
10.14, 1.4660765716752369
10.15, 1.4556045961632709
10.16, 1.4398966328953218
10.17, 1.424188669627373
10.18, 1.403244718603441
10.19, 1.371828792067543
10.2, 1.345648853287628
10.21, 1.31423292675173
10.22, 1.2723450247038663
10.23, 1.2304571226560024
10.24, 1.1885692206081384
10.25, 1.1414453308042916
10.26, 1.0890854532444616
10.27, 1.0314895879286488
10.28, 0.9791297103688188
10.29, 0.921533845053006
10.3, 0.8587019919812101
10.31, 0.7906341511534312
10.32, 0.7173303225696694
10.33, 0.6544984694978736
10.34, 0.5811946409141118
10.35, 0.5026548245743669
10.36, 0.4241150082346221
10.37, 0.3508111796508602
10.38, 0.26703537555513246
10.39, 0.18849555921538758
10.4, 0.10471975511965977
10.411, 0.020943951023931956
10.421, -0.06283185307179587
10.431, -0.15184364492350666
10.441, -0.2303834612632515
10.451, -0.3141592653589793
10.461, -0.38746309394274114
10.471, -0.460766922526503
10.481, -0.5393067388662478
10.491, -0.6126105674500096
10.501, -0.6806784082777886
10.511, -0.7487462491055674
10.521, -0.8168140899333463
10.531, -0.8796459430051422
10.541, -0.9372418083209549
10.551, -0.9948376736367678
10.561, -1.0524335389525807
10.571, -1.1047934165124107
10.582, -1.1519173063162573
10.592, -1.1990411961201044
10.602, -1.2409290981679684
10.612, -1.2775810124598492
10.622, -1.3089969389957472
10.632, -1.3404128655316452
10.642, -1.36659280431156
10.652, -1.3875367553354918
10.662, -1.4084807063594238
10.672, -1.4189526818713898
10.682, -1.4346606451393389
10.692, -1.4398966328953218
10.702, -1.4451326206513049
10.712, -1.4451326206513049
10.722, -1.4451326206513049
10.732, -1.4398966328953218
10.742, -1.429424657383356
10.752, -1.4189526818713898
10.762, -1.398008730847458
10.772, -1.377064779823526
10.782, -1.350884841043611
10.792, -1.319468914507713
10.802, -1.293288975727798
10.812, -1.2566370614359172
10.822, -1.2147491593880533
10.832, -1.1676252695842064
10.842, -1.1257373675363425
10.852, -1.0733774899765127
10.862, -1.0210176124166828
10.872, -0.9634217471008698
10.882, -0.91106186954104
10.892, -0.8482300164692442
10.902, -0.7801621756414653
10.912, -0.7120943348136864
10.923, -0.6440264939859075
10.933, -0.5707226654021458
10.943, -0.49218284906240095
10.953, -0.41364303272265607
10.963, -0.3351032163829113
10.973, -0.2617993877991494
10.983, -0.1780235837034216
10.993, -0.09424777960769379
11.003, -0.010471975511965978
11.013, 0.06283185307179587
11.023, 0.1466076571675237
11.033, 0.22514747350726852
11.043, 0.3089232776029963
11.053, 0.3822271061867582
11.063, 0.460766922526503
11.073, 0.5340707511102649
11.083, 0.6126105674500096
11.094, 0.6806784082777886
11.104, 0.7539822368615503
11.114, 0.8220500776893291
11.124, 0.8848819307611251
11.134, 0.947713783832921
11.144, 1.0000736613927508
11.154, 1.0576695267085636
11.164, 1.1100294042683936
11.174, 1.1571532940722404
11.184, 1.1990411961201044
11.194, 1.2409290981679684
11.204, 1.2775810124598492
