time, angle
26.76, -0.439822972
26.777, -0.357792497
26.793, -0.275762022
26.81, -0.191986218
26.827, -0.108210414
26.843, -0.029670597
26.86, 0.075049158
26.877, 0.129154365
26.894, 0.23387412
26.91, 0.312413936
26.927, 0.392699082
26.944, 0.472984227
26.96, 0.556760031
26.977, 0.628318531
26.994, 0.703367689
27.01, 0.776671517
27.027, 0.849975346
27.044, 0.921533845
27.06, 0.984365698
27.077, 1.043706893
27.094, 1.0978121
27.11, 1.141445331
27.127, 1.179842574
27.144, 1.211258501
27.16, 1.233947781
27.177, 1.251401074
27.194, 1.256637061
27.211, 1.253146403
27.227, 1.240929098
27.244, 1.221730476
27.261, 1.207767842
27.277, 1.169370599
27.294, 1.122246709
27.311, 1.075122819
27.327, 1.017526954
27.344, 0.952949772
27.361, 0.890117919
27.377, 0.81681409
27.394, 0.745255591
27.411, 0.663225116
27.427, 0.572467995
27.444, 0.49043752
27.461, 0.411897703
27.477, 0.335103216
27.494, 0.2565634
27.511, 0.179768913
27.527, 0.108210414
27.544, 0.038397244
27.561, -0.038397244
27.578, -0.118682389
27.594, -0.200712864
27.611, -0.27925268
27.628, -0.357792497
27.644, -0.438077642
27.661, -0.516617459
27.678, -0.596902604
27.694, -0.67718775
27.711, -0.755727566
27.728, -0.830776724
27.744, -0.902335223
27.761, -0.972148393
27.778, -1.038470905
27.794, -1.09606677
27.811, -1.144935989
27.828, -1.188569221
27.844, -1.226966464
27.861, -1.247910415
27.878, -1.265363708
27.895, -1.275835683
27.911, -1.277581012
27.928, -1.268854366
27.945, -1.247910415
27.961, -1.221730476
27.978, -1.185078562
27.995, -1.144935989
28.011, -1.09606677
28.028, -1.038470905
28.045, -0.975639052
28.061, -0.90931654
28.078, -0.848230016
28.095, -0.780162176
28.111, -0.708603676
28.128, -0.63006386
28.145, -0.551524044
28.161, -0.46774824
28.178, -0.387463094
28.195, -0.308923278
28.212, -0.228638132
28.228, -0.150098316
28.245, -0.068067841
28.262, 0.012217305
28.278, 0.083775804
28.295, 0.158824962
28.312, 0.242600766
28.328, 0.322885912
28.345, 0.403171057
28.362, 0.483456203
28.378, 0.56025069
28.395, 0.637045177
28.412, 0.715584993
28.428, 0.780162176
28.445, 0.842994029
28.462, 0.905825882
28.478, 0.966912406
28.495, 1.022762942
28.512, 1.069886831
28.529, 1.110029404
28.545, 1.14319066
28.562, 1.16762527
28.579, 1.185078562
28.595, 1.193805208
28.612, 1.197295867
28.629, 1.192059879
28.645, 1.178097245
28.662, 1.153662636
28.679, 1.123992038
28.695, 1.106538746
28.712, 1.061160185
28.729, 1.007054978
28.745, 0.951204442
28.762, 0.888372589
28.779, 0.822050078
28.795, 0.750491578
28.812, 0.67718775
28.829, 0.600393263
28.845, 0.523598776
28.862, 0.441568301
28.879, 0.363028484
28.896, 0.284488668
28.912, 0.20943951
28.929, 0.141371669
28.946, 0.06981317
28.962, -0.005235988
28.979, -0.080285146
28.996, -0.160570291
29.012, -0.237364778
29.029, -0.315904595
29.046, -0.392699082
29.062, -0.46774824
29.079, -0.544542727
29.096, -0.619591884
29.112, -0.694641042
29.129, -0.7696902
29.146, -0.83950337
29.162, -0.905825882
29.179, -0.968657735
29.196, -1.024508271
29.213, -1.076868148
29.229, -1.122246709
29.246, -1.157153294
29.263, -1.186823891
29.279, -1.206022513
29.296, -1.218239818
29.313, -1.219985147
29.329, -1.214749159
29.346, -1.199041196
29.363, -1.174606587
29.379, -1.141445331
29.396, -1.099557429
29.413, -1.054178868
29.429, -1.007054978
29.446, -0.961676418
29.463, -0.905825882
29.479, -0.844739358
29.496, -0.771435529
29.513, -0.698131701
29.53, -0.621337214
29.546, -0.542797397
29.563, -0.462512252
29.58, -0.383972435
29.596, -0.305432619
29.613, -0.228638132
29.63, -0.151843645
29.646, -0.075049158
29.663, -0.795870139
29.68, -0.764454212
29.696, -0.734783615
29.713, 0.226892803
29.73, 0.301941961
29.746, 0.376991118
29.763, 0.455530935
29.78, 0.532325422
29.796, 0.612610567
29.813, 0.682423738
29.83, 0.750491578
29.846, 0.815068761
29.863, 0.872664626
29.88, 0.932005821
29.897, 0.984365698
29.913, 1.029744259
29.93, 1.066396173
29.947, 1.0978121
29.963, 1.123992038
29.98, 1.139700002
29.997, 1.148426648
30.013, 1.148426648
30.03, 1.141445331
30.047, 1.125737368
30.063, 1.103048087
30.08, 1.071632161
30.097, 1.033234917
30.113, 0.987856357
30.13, 0.935496479
30.147, 0.904080553
30.163, 0.83950337
30.18, 0.776671517
30.197, 0.708603676
30.214, 0.635299848
30.23, 0.563741348
30.247, 0.492182849
30.264, 0.415388362
30.28, 0.340339204
30.297, 0.265290046
30.314, 0.191986218
30.33, 0.120427718
30.347, 0.04712389
30.364, -0.026179939
30.38, -0.099483767
30.397, -0.176278254
30.414, -0.249582083
30.43, -0.32637657
30.447, -0.403171057
30.464, -0.476474886
30.48, -0.549778714
30.497, -0.623082543
30.514, -0.696386372
30.53, -0.766199542
30.547, -0.834267382
30.564, -0.898844565
30.581, -0.95644043
30.597, -1.010545637
30.614, -1.055924197
30.631, -1.094321441
30.647, -1.125737368
30.664, -1.148426648
30.681, -1.164134611
30.697, -1.169370599
30.714, -1.169370599
30.731, -1.158898623
30.747, -1.139700002
30.764, -1.113520063
30.781, -1.078613478
30.797, -1.034980246
30.814, -0.987856357
30.831, -0.961676418
30.847, -0.904080553
30.864, -0.842994029
30.881, -0.778416846
30.898, -0.706858347
